"","X1","variable"
"(Intercept)",2.83554311236616,"(Intercept)"
"CancerType.ACC",19.8090615422373,"CancerType.ACC"
"CancerType.BLCA",-4.90120712437845,"CancerType.BLCA"
"CancerType.BRCA",-2.11117879608826,"CancerType.BRCA"
"CancerType.CESC",-6.41220774691466,"CancerType.CESC"
"CancerType.CHOL",-4.27556320681034,"CancerType.CHOL"
"CancerType.COAD",-5.30297426133592,"CancerType.COAD"
"CancerType.ESCA_adernocarcinoma",1.61618464757266,"CancerType.ESCA_adernocarcinoma"
"CancerType.GBM",12.088793140819,"CancerType.GBM"
"CancerType.KIRC",2.90070828935764,"CancerType.KIRC"
"CancerType.KIRP",6.4316722231472,"CancerType.KIRP"
"CancerType.LGG",5.22292206786478,"CancerType.LGG"
"CancerType.LIHC",3.5998059746971,"CancerType.LIHC"
"CancerType.LUSC",-0.605030524143398,"CancerType.LUSC"
"CancerType.OV",3.7044053804646,"CancerType.OV"
"CancerType.READ",-6.66903440782365,"CancerType.READ"
"CancerType.SARC",3.88258074272237,"CancerType.SARC"
"CancerType.SKCM",-0.602634308015761,"CancerType.SKCM"
"CancerType.STAD",-1.79901787637416,"CancerType.STAD"
"CancerType.UCEC",0.242631586684915,"CancerType.UCEC"
"CancerType.UCS",-6.74805113025583,"CancerType.UCS"
"log_Mutation_rate",-0.693746077550436,"log_Mutation_rate"
"SBS1",-0.955672768641327,"SBS1"
"SBS2",2.49862664974777,"SBS2"
"SBS3",0.427035703108543,"SBS3"
"SBS4",1.22809625877874,"SBS4"
"SBS6",-4.12528567819507,"SBS6"
"SBS8",-15.1378883509765,"SBS8"
"SBS10a",-2.031400111881,"SBS10a"
"SBS14",-10.8013263865583,"SBS14"
"SBS15",-5.50188703479787,"SBS15"
"SBS20",-12.1776169222088,"SBS20"
"SBS40",0.599255003775729,"SBS40"
"SBS44",-4.93236198945712,"SBS44"
"TP53_SNV",-1.18929273720026,"TP53_SNV"
"PTEN_SNV",-0.63765111345952,"PTEN_SNV"
"FAT3_SNV",0.0142737143662372,"FAT3_SNV"
"SLITRK6_SNV",-0.188143938618477,"SLITRK6_SNV"
"ZIC4_SNV",-0.553794381819277,"ZIC4_SNV"
"PYHIN1_SNV",-0.21732296674131,"PYHIN1_SNV"
"KIR3DL2_SNV",0.324419147121172,"KIR3DL2_SNV"
"CASP8_SNV",0.0692462758946903,"CASP8_SNV"
"GTF2I_SNV",-0.432877209149613,"GTF2I_SNV"
"RPL22_CNV.Deletion",-0.0724680192580961,"RPL22_CNV.Deletion"
"SPEN_CNV.Deletion",-0.303289800033035,"SPEN_CNV.Deletion"
"SDHB_CNV.Amplification",-0.744621413367769,"SDHB_CNV.Amplification"
"SDHB_CNV.Deletion",-0.150028977737866,"SDHB_CNV.Deletion"
"ARHGEF10L_CNV.Amplification",0.157610597863267,"ARHGEF10L_CNV.Amplification"
"ARHGEF10L_CNV.Deletion",-0.0115157061731261,"ARHGEF10L_CNV.Deletion"
"PAX7_CNV.Deletion",-0.00518222870484754,"PAX7_CNV.Deletion"
"SFPQ_CNV.Amplification",0.0681710266408641,"SFPQ_CNV.Amplification"
"SFPQ_CNV.Deletion",0.521533221076906,"SFPQ_CNV.Deletion"
"THRAP3_CNV.Deletion",-0.145816270440248,"THRAP3_CNV.Deletion"
"MUTYH_CNV.Amplification",-0.0161661011774573,"MUTYH_CNV.Amplification"
"MUTYH_CNV.Deletion",0.114578049789478,"MUTYH_CNV.Deletion"
"FUBP1_CNV.Deletion",0.0390842920961901,"FUBP1_CNV.Deletion"
"TRIM33_CNV.Amplification",-0.271451913560872,"TRIM33_CNV.Amplification"
"ATP1A1_CNV.Deletion",0.467504545328509,"ATP1A1_CNV.Deletion"
"TENT5C_CNV.Amplification",-0.488072946979214,"TENT5C_CNV.Amplification"
"BCL9_CNV.Deletion",-0.296542391205318,"BCL9_CNV.Deletion"
"PDE4DIP_CNV.Deletion",-0.0437450944533205,"PDE4DIP_CNV.Deletion"
"MLLT11_CNV.Deletion",0.00310857449110722,"MLLT11_CNV.Deletion"
"TPM3_CNV.Deletion",-0.536072307408548,"TPM3_CNV.Deletion"
"MUC1_CNV.Deletion",0.605455111605318,"MUC1_CNV.Deletion"
"LMNA_CNV.Amplification",-0.687652736803274,"LMNA_CNV.Amplification"
"LMNA_CNV.Deletion",0.430804118910612,"LMNA_CNV.Deletion"
"NTRK1_CNV.Deletion",0.0930049211974515,"NTRK1_CNV.Deletion"
"FCRL4_CNV.Deletion",-0.0909046967574677,"FCRL4_CNV.Deletion"
"FCGR2B_CNV.Deletion",0.0810564412903185,"FCGR2B_CNV.Deletion"
"PRRX1_CNV.Amplification",0.635314556299575,"PRRX1_CNV.Amplification"
"PRRX1_CNV.Deletion",-0.163601271098108,"PRRX1_CNV.Deletion"
"ABL2_CNV.Amplification",-0.150544799769607,"ABL2_CNV.Amplification"
"AKT3_CNV.Deletion",0.152167554128122,"AKT3_CNV.Deletion"
"PAX8_CNV.Amplification",-0.109604180456645,"PAX8_CNV.Amplification"
"PAX8_CNV.Deletion",-0.51637456887042,"PAX8_CNV.Deletion"
"LRP1B_CNV.Amplification",0.29016829658659,"LRP1B_CNV.Amplification"
"LRP1B_CNV.Deletion",-0.523861355019978,"LRP1B_CNV.Deletion"
"MYD88_CNV.Amplification",0.095324456668327,"MYD88_CNV.Amplification"
"MYD88_CNV.Deletion",0.227876654105472,"MYD88_CNV.Deletion"
"PBRM1_CNV.Amplification",0.000377119631995954,"PBRM1_CNV.Amplification"
"FHIT_CNV.Deletion",-0.308548395675714,"FHIT_CNV.Deletion"
"TFG_CNV.Amplification",0.0901109923587728,"TFG_CNV.Amplification"
"CBLB_CNV.Amplification",-0.531201913523645,"CBLB_CNV.Amplification"
"CBLB_CNV.Deletion",-0.345199688116452,"CBLB_CNV.Deletion"
"GATA2_CNV.Deletion",0.463461571183969,"GATA2_CNV.Deletion"
"STAG1_CNV.Deletion",-0.483332894413661,"STAG1_CNV.Deletion"
"GMPS_CNV.Amplification",-0.0426909318033696,"GMPS_CNV.Amplification"
"MLF1_CNV.Deletion",0.137821894159595,"MLF1_CNV.Deletion"
"PIK3CA_CNV.Amplification",-0.307706787163076,"PIK3CA_CNV.Amplification"
"PIK3CA_CNV.Deletion",0.217184304885625,"PIK3CA_CNV.Deletion"
"MAP3K13_CNV.Deletion",0.522993490867302,"MAP3K13_CNV.Deletion"
"ETV5_CNV.Amplification",0.0435546907889819,"ETV5_CNV.Amplification"
"BCL6_CNV.Deletion",0.525145768964185,"BCL6_CNV.Deletion"
"LPP_CNV.Deletion",-0.145171230734201,"LPP_CNV.Deletion"
"TP63_CNV.Amplification",-0.268796260673479,"TP63_CNV.Amplification"
"TP63_CNV.Deletion",-1.28876584852463,"TP63_CNV.Deletion"
"FGFR3_CNV.Amplification",-0.0891916864836404,"FGFR3_CNV.Amplification"
"FGFR3_CNV.Deletion",0.477947144793715,"FGFR3_CNV.Deletion"
"NSD2_CNV.Amplification",-0.0477829410173684,"NSD2_CNV.Amplification"
"TEC_CNV.Amplification",0.269639349681033,"TEC_CNV.Amplification"
"TEC_CNV.Deletion",-0.0468476774659658,"TEC_CNV.Deletion"
"FIP1L1_CNV.Amplification",-0.428407970519976,"FIP1L1_CNV.Amplification"
"FIP1L1_CNV.Deletion",-0.0442171685845076,"FIP1L1_CNV.Deletion"
"PDGFRA_CNV.Deletion",0.877529874925996,"PDGFRA_CNV.Deletion"
"KDR_CNV.Amplification",-0.226704952738737,"KDR_CNV.Amplification"
"AFF1_CNV.Amplification",-0.199321757272226,"AFF1_CNV.Amplification"
"AFF1_CNV.Deletion",-0.0714564972132732,"AFF1_CNV.Deletion"
"RAP1GDS1_CNV.Amplification",-0.077847124281593,"RAP1GDS1_CNV.Amplification"
"LEF1_CNV.Deletion",0.235592636790421,"LEF1_CNV.Deletion"
"SDHA_CNV.Amplification",-0.465197917175618,"SDHA_CNV.Amplification"
"CTNND2_CNV.Deletion",-0.0955883791351718,"CTNND2_CNV.Deletion"
"CDH10_CNV.Deletion",0.961894866194473,"CDH10_CNV.Deletion"
"APC_CNV.Amplification",-0.00897741461103738,"APC_CNV.Amplification"
"APC_CNV.Deletion",-0.274052307774895,"APC_CNV.Deletion"
"AFF4_CNV.Amplification",0.0453575971735297,"AFF4_CNV.Amplification"
"AFF4_CNV.Deletion",-0.00562326843308212,"AFF4_CNV.Deletion"
"CSF1R_CNV.Amplification",0.338719389042968,"CSF1R_CNV.Amplification"
"NSD1_CNV.Amplification",0.0704058405229453,"NSD1_CNV.Amplification"
"NSD1_CNV.Deletion",-0.0123681689532514,"NSD1_CNV.Deletion"
"FLT4_CNV.Amplification",0.309734549167674,"FLT4_CNV.Amplification"
"FOXO3_CNV.Amplification",0.0858990848085604,"FOXO3_CNV.Amplification"
"FOXO3_CNV.Deletion",-0.187043246892598,"FOXO3_CNV.Deletion"
"PTPRK_CNV.Deletion",0.170012036796211,"PTPRK_CNV.Deletion"
"SGK1_CNV.Amplification",-0.119297602033462,"SGK1_CNV.Amplification"
"SGK1_CNV.Deletion",0.542753588321433,"SGK1_CNV.Deletion"
"LATS1_CNV.Amplification",0.15687033113095,"LATS1_CNV.Amplification"
"LATS1_CNV.Deletion",0.35686486150667,"LATS1_CNV.Deletion"
"ESR1_CNV.Amplification",0.267034326350464,"ESR1_CNV.Amplification"
"ARID1B_CNV.Amplification",0.0118179997158166,"ARID1B_CNV.Amplification"
"ARID1B_CNV.Deletion",-0.549883372109913,"ARID1B_CNV.Deletion"
"EZR_CNV.Amplification",0.811777523102978,"EZR_CNV.Amplification"
"QKI_CNV.Amplification",0.135146298378888,"QKI_CNV.Amplification"
"AFDN_CNV.Amplification",-0.491755954083618,"AFDN_CNV.Amplification"
"SBDS_CNV.Deletion",-0.464472560606413,"SBDS_CNV.Deletion"
"TRRAP_CNV.Deletion",0.181120518551659,"TRRAP_CNV.Deletion"
"SND1_CNV.Amplification",-0.243591268527581,"SND1_CNV.Amplification"
"SND1_CNV.Deletion",0.477908614442438,"SND1_CNV.Deletion"
"NRG1_CNV.Deletion",0.365570934800746,"NRG1_CNV.Deletion"
"FGFR1_CNV.Amplification",-0.539090382211114,"FGFR1_CNV.Amplification"
"FGFR1_CNV.Deletion",-0.202667452885275,"FGFR1_CNV.Deletion"
"HOOK3_CNV.Amplification",0.054311178828469,"HOOK3_CNV.Amplification"
"HOOK3_CNV.Deletion",-0.601518739466367,"HOOK3_CNV.Deletion"
"PLAG1_CNV.Amplification",-0.564214174169624,"PLAG1_CNV.Amplification"
"PLAG1_CNV.Deletion",-0.226636480185851,"PLAG1_CNV.Deletion"
"PREX2_CNV.Deletion",0.321279319805829,"PREX2_CNV.Deletion"
"NCOA2_CNV.Deletion",0.0498149403133617,"NCOA2_CNV.Deletion"
"COX6C_CNV.Deletion",-0.448802127524666,"COX6C_CNV.Deletion"
"UBR5_CNV.Amplification",-0.257776699105447,"UBR5_CNV.Amplification"
"UBR5_CNV.Deletion",0.214770287045062,"UBR5_CNV.Deletion"
"RAD21_CNV.Amplification",0.650503731004314,"RAD21_CNV.Amplification"
"RAD21_CNV.Deletion",0.405009968508535,"RAD21_CNV.Deletion"
"MYC_CNV.Amplification",-0.701200359810473,"MYC_CNV.Amplification"
"MYC_CNV.Deletion",0.0143289591675251,"MYC_CNV.Deletion"
"FAM135B_CNV.Amplification",0.157867941690104,"FAM135B_CNV.Amplification"
"RECQL4_CNV.Deletion",-0.473949078433985,"RECQL4_CNV.Deletion"
"JAK2_CNV.Amplification",0.178784787008026,"JAK2_CNV.Amplification"
"JAK2_CNV.Deletion",0.0687526005523228,"JAK2_CNV.Deletion"
"NFIB_CNV.Amplification",-0.464309684699086,"NFIB_CNV.Amplification"
"NFIB_CNV.Deletion",-0.0111389843482243,"NFIB_CNV.Deletion"
"CDKN2A_CNV.Deletion",0.693138609733625,"CDKN2A_CNV.Deletion"
"FANCG_CNV.Amplification",-0.0581424701448273,"FANCG_CNV.Amplification"
"FANCG_CNV.Deletion",-0.746586547441842,"FANCG_CNV.Deletion"
"PAX5_CNV.Deletion",0.359546491665317,"PAX5_CNV.Deletion"
"SYK_CNV.Amplification",0.401708271272695,"SYK_CNV.Amplification"
"WNK2_CNV.Amplification",-0.113742443670469,"WNK2_CNV.Amplification"
"FANCC_CNV.Amplification",-0.701804271602123,"FANCC_CNV.Amplification"
"FANCC_CNV.Deletion",0.0474321000709627,"FANCC_CNV.Deletion"
"ABL1_CNV.Amplification",-0.29784941979707,"ABL1_CNV.Amplification"
"RALGDS_CNV.Amplification",-0.113377796899175,"RALGDS_CNV.Amplification"
"RALGDS_CNV.Deletion",-0.941283805698701,"RALGDS_CNV.Deletion"
"NOTCH1_CNV.Deletion",0.657420348412055,"NOTCH1_CNV.Deletion"
"KLF6_CNV.Deletion",-0.738927604621328,"KLF6_CNV.Deletion"
"GATA3_CNV.Amplification",-0.527021892174495,"GATA3_CNV.Amplification"
"GATA3_CNV.Deletion",0.665212625779427,"GATA3_CNV.Deletion"
"ZEB1_CNV.Deletion",-0.148236901470187,"ZEB1_CNV.Deletion"
"KIF5B_CNV.Amplification",0.723828388452083,"KIF5B_CNV.Amplification"
"CCDC6_CNV.Deletion",0.0779785135813807,"CCDC6_CNV.Deletion"
"PRF1_CNV.Deletion",-0.154880809679217,"PRF1_CNV.Deletion"
"NUTM2B_CNV.Deletion",-0.0507232131112467,"NUTM2B_CNV.Deletion"
"NUTM2D_CNV.Deletion",0.429901340006277,"NUTM2D_CNV.Deletion"
"PTEN_CNV.Amplification",-0.240796051673779,"PTEN_CNV.Amplification"
"PTEN_CNV.Deletion",-0.893699853596739,"PTEN_CNV.Deletion"
"FAS_CNV.Amplification",-2.0078475977502,"FAS_CNV.Amplification"
"CPEB3_CNV.Amplification",0.907391030530383,"CPEB3_CNV.Amplification"
"CPEB3_CNV.Deletion",0.268314837721471,"CPEB3_CNV.Deletion"
"CYP2C8_CNV.Amplification",1.12930722501783,"CYP2C8_CNV.Amplification"
"NT5C2_CNV.Deletion",0.0435369107284511,"NT5C2_CNV.Deletion"
"NUP98_CNV.Amplification",-0.427279076644408,"NUP98_CNV.Amplification"
"NUP98_CNV.Deletion",0.0630714840943224,"NUP98_CNV.Deletion"
